"parameter","method","msel","mselr","ks","condition_id","irt_model","latent_shape","N","I","target_rho","rep_id","prior","status","time_secs"
"theta","cb",0.652013070725635,0.017392,0.26,105,"2pl","skew_pos",50,25,0.9,2,"dp_focused","success",91.6387100219727
"theta","gr",0.601462341216888,0.017392,0.2,105,"2pl","skew_pos",50,25,0.9,2,"dp_focused","success",91.6387100219727
"beta","pm",0.325072795635612,0.015488,0.28,105,"2pl","skew_pos",50,25,0.9,2,"dp_focused","success",91.6387100219727
"beta","cb",0.422002742781777,0.015488,0.32,105,"2pl","skew_pos",50,25,0.9,2,"dp_focused","success",91.6387100219727
"beta","gr",0.423555649403025,0.016,0.24,105,"2pl","skew_pos",50,25,0.9,2,"dp_focused","success",91.6387100219727
"lambda","pm",0.346164657113216,0.081664,0.4,105,"2pl","skew_pos",50,25,0.9,2,"dp_focused","success",91.6387100219727
"theta","pm",0.13086240208649,0.011376,0.22,105,"2pl","skew_pos",50,25,0.9,3,"gaussian","success",52.8520269393921
"theta","cb",0.156137301369149,0.011376,0.22,105,"2pl","skew_pos",50,25,0.9,3,"gaussian","success",52.8520269393921
"theta","gr",0.154197762988211,0.011536,0.18,105,"2pl","skew_pos",50,25,0.9,3,"gaussian","success",52.8520269393921
"beta","pm",0.253510138698107,0.018304,0.36,105,"2pl","skew_pos",50,25,0.9,3,"gaussian","success",52.8520269393921
"beta","cb",0.376891251506616,0.018304,0.36,105,"2pl","skew_pos",50,25,0.9,3,"gaussian","success",52.8520269393921
"beta","gr",0.431117432879867,0.017664,0.24,105,"2pl","skew_pos",50,25,0.9,3,"gaussian","success",52.8520269393921
"lambda","pm",0.240198383526144,0.073984,0.4,105,"2pl","skew_pos",50,25,0.9,3,"gaussian","success",52.8520269393921
"theta","pm",0.145609444747014,0.01144,0.22,105,"2pl","skew_pos",50,25,0.9,3,"dp_broad","success",92.4636132717133
"theta","cb",0.178208643536575,0.01144,0.24,105,"2pl","skew_pos",50,25,0.9,3,"dp_broad","success",92.4636132717133
